,Spółka,Rodzaj,Cena aktualna,Cena docelowa,Potencjał zmiany ceny,Cena w dniu publ.,Instytucja,Data publ.,Raport
127,MIRACULUM (MIR)*,Trzymaj,1.13,1.35,0.19469999999999998,1.36,Ipopema Securities,2024-02-09,
128,NOVAVISGR (NVG),Kupuj,2.26,4.3,0.9027,2.1,East Value Research,2024-02-08,
129,FERRO (FRO)*,Kupuj,38.7,36.6,-0.054299999999999994,32.3,DM BOŚ,2024-02-07,
130,RELPOL (RLP)*,Trzymaj,5.7,7.42,0.3018,7.08,DM BDM,2024-02-05,
131,SECOGROUP (SWG)*,Kupuj,33.0,36.2,0.09699999999999999,31.2,Erste,2024-02-02,
132,LPP (LPP),Kupuj,16880.0,20000.0,0.1848,15570.0,BM mBank,2024-02-01,
133,11BIT (11B),Kupuj,642.0,808.0,0.2586,572.0,DM BDM,2024-01-30,
134,MOLECURE (MOC),Kupuj,13.9,34.0,1.446,18.7,BM mBank,2024-01-23,
135,KRUK (KRU),Kupuj,452.0,532.36,0.1778,457.2,BM mBank,2024-01-18,
136,FORTE (FTE),Akumuluj,21.9,25.2,0.1507,23.1,Noble Securities,2024-01-17,
137,AGORA (AGO)*,Kupuj,11.26,14.5,0.2877,10.45,DM BDM,2024-01-09,
138,WIRTUALNA (WPL),Redukuj,106.4,102.8,-0.0338,118.0,DM BDM,2024-01-09,
139,VIGOPHOTN (VGO),Kupuj,576.0,590.0,0.024300000000000002,510.0,East Value Research,2024-01-08,
140,PEKABEX (PBX),Kupuj,26.8,27.3,0.0187,24.3,DM BDM,2024-01-04,
141,TORPOL (TOR),Kupuj,36.3,27.9,-0.2314,24.9,DM BDM,2024-01-04,
142,MIRBUD (MRB),Akumuluj,14.36,9.09,-0.36700000000000005,8.3,DM BDM,2024-01-04,
143,ERBUD (ERB),Trzymaj,40.3,41.1,0.0199,41.3,DM BDM,2024-01-04,
144,INSTALKRK (INK),Kupuj,47.9,50.0,0.0438,42.8,DM BDM,2024-01-04,
145,MOSTALZAB (MSZ),Kupuj,4.23,4.85,0.1466,4.0,DM BDM,2024-01-04,
146,BUDIMEX (BDX),Redukuj,695.5,530.8,-0.2368,636.0,DM BDM,2024-01-04,
147,ZUE (ZUE)*,Akumuluj,10.8,8.43,-0.2194,7.86,DM BDM,2024-01-04,
148,ELEKTROTI (ELT)*,Akumuluj,34.8,19.1,-0.4511,17.48,DM BDM,2024-01-04,
149,VOXEL (VOX),Kupuj,93.2,90.3,-0.0311,78.6,DM BDM,2024-01-02,
150,OPONEO.PL (OPN),Kupuj,76.2,63.8,-0.16269999999999998,46.5,East Value Research,2023-12-27,
151,HUUUGE (HUG),Kupuj,23.3,36.2,0.5536,26.9,DM BDM,2023-12-22,
152,GRODNO (GRN)*,Trzymaj,10.5,11.8,0.12380000000000001,10.94,DM BOŚ,2023-12-19,
153,AMICA (AMC),Kupuj,69.7,109.2,0.5667,82.0,Noble Securities,2023-12-15,
154,SYNEKTIK (SNT),Kupuj,132.6,109.7,-0.1727,89.2,East Value Research,2023-12-14,
155,MARVIPOL (MVP)*,Kupuj,7.16,10.07,0.4064,7.2,Ipopema Securities,2023-12-12,
156,KINOPOL (KPL)*,Wycena,17.7,18.4,0.0395,14.65,DM BDM,2023-12-11,
157,BRAND24 (B24)*,Wycena,46.9,48.8,0.0405,36.3,DM BOŚ,2023-12-11,
158,VOXEL (VOX)*,Kupuj,93.2,85.3,-0.0848,74.2,DM BOŚ,2023-12-11,
159,CLOUD (CLD)*,Trzymaj,76.0,71.0,-0.0658,68.0,DM BOŚ,2023-12-11,
160,VOTUM (VOT)*,Kupuj,33.6,81.3,1.4196,43.7,DM BOŚ,2023-12-11,
161,DATAWALK (DAT)*,Trzymaj,65.1,53.0,-0.1859,32.5,DM BOŚ,2023-12-11,
162,FERRO (FRO)*,Kupuj,38.7,34.7,-0.10339999999999999,31.6,DM BOŚ,2023-12-11,
163,KINOPOL (KPL)*,Kupuj,17.7,18.4,0.0395,14.0,DM BDM,2023-12-11,
164,MCI (MCI)*,Wycena,26.5,40.3,0.5207999999999999,23.7,Noble Securities,2023-12-08,
165,KOGENERA (KGN),Wycena,46.7,137.0,1.9336000000000002,42.0,East Value Research,2023-12-08,
166,BOWIM (BOW)*,Wycena,6.7,7.2,0.0746,7.2,DM BOŚ,2023-12-08,
167,AILLERON (ALL),Wycena,17.4,22.7,0.3046,19.2,Noble Securities,2023-12-07,
168,CLNPHARMA (CLN),Kupuj,15.64,29.1,0.8606,15.66,Noble Securities,2023-12-06,
169,SONEL (SON)*,Wycena,18.0,12.36,-0.31329999999999997,11.7,Noble Securities,2023-12-05,
170,CAPTORTX (CTX),Kupuj,78.6,137.1,0.7443000000000001,86.6,Noble Securities,2023-12-04,
171,PEKAO (PEO),Kupuj,164.75,201.8,0.2249,147.8,DM BOŚ,2023-12-04,
172,PKOBP (PKO),Kupuj,62.52,64.4,0.0301,49.55,DM BOŚ,2023-12-04,
173,MILLENNIUM (MIL),Kupuj,8.91,11.3,0.26899999999999996,8.11,DM BOŚ,2023-12-04,
174,WARIMPEX (WXF),Wycena,3.69,11.68,2.1653000000000002,3.48,East Value Research,2023-12-04,
175,ALLEGRO (ALE),Kupuj,37.6,35.3,-0.061,28.94,BM mBank,2023-12-01,
176,ARTIFEX (ART)*,Kupuj,22.8,24.8,0.0877,16.95,DM BDM,2023-12-01,
177,IFIRMA (IFI)*,Neutralna,23.4,30.9,0.32049999999999995,29.8,Millennium DM,2023-11-30,
178,MOSTALZAB (MSZ)*,Kupuj,4.23,5.8,0.3712,3.87,Millennium DM,2023-11-30,
179,TSGAMES (TEN),Kupuj,84.55,138.0,0.6322,90.35,DM BDM,2023-11-30,
180,FERRO (FRO)*,Kupuj,38.7,33.3,-0.13949999999999999,26.6,DM BOŚ,2023-11-29,
181,XTB (XTB),Kupuj,71.1,67.7,-0.0478,34.1,Noble Securities,2023-11-28,
182,MOBRUK (MBR),Kupuj,317.0,390.3,0.23120000000000002,280.0,Noble Securities,2023-11-28,
183,SELVITA (SLV),Akumuluj,67.3,72.6,0.0788,60.0,Noble Securities,2023-11-28,
184,DECORA (DCR),Kupuj,63.8,60.4,-0.0533,54.2,DM BOŚ,2023-11-28,
185,ALIOR (ALR),Kupuj,99.9,93.3,-0.0661,74.36,DM BOŚ,2023-11-27,
186,SHOPER (SHO),Kupuj,43.2,36.5,-0.1551,33.5,BM mBank,2023-11-23,
187,PEPCO (PCO),Trzymaj,22.25,19.0,-0.1461,19.37,Noble Securities,2023-11-20,
188,GRUPRACUJ (GPP),Trzymaj,63.7,63.4,-0.004699999999999999,61.0,BM Banku Pekao,2023-11-20,
189,PKOBP (PKO),Kupuj,62.52,55.21,-0.11689999999999999,47.68,BM mBank,2023-11-17,
190,GRUPAAZOTY (ATT),Sprzedaj,20.88,17.26,-0.1734,21.3,BM Banku Pekao,2023-11-17,
191,PCCROKITA (PCR),Sprzedaj,91.7,79.04,-0.1381,91.0,BM Banku Pekao,2023-11-17,
